date,cpi_yoy_nfne,wui_lag_4,wui_lag_2,cpi_rolling_12q,wui_rolling_12q,shock_gfc,shock_covid
2004-07-01,9.059895,23886.34,16122.31,29.84189902777778,20213.897416666663,0,0
2004-10-01,9.603342666666668,12058.21,9975.339,25.709988416666665,19360.109916666665,0,0
2005-01-01,8.730750666666667,16122.31,14397.81,21.481825694444442,18438.48825,0,0
2005-04-01,8.668667666666666,9975.339,13202.73,18.379167722222224,17932.532416666665,0,0
2005-07-01,8.519517666666667,14397.81,11537.9,15.794870861111113,18437.30575,0,0
2005-10-01,8.119627000000001,13202.73,11866.98,13.697407833333335,17131.70158333333,0,0
2006-01-01,8.155223666666666,11537.9,20193.73,12.00200063888889,15951.219083333335,0,0
2006-04-01,9.396649333333334,11866.98,12165.63,10.743320027777777,13766.24725,0,0
2006-07-01,9.906591333333331,20193.73,11552.83,9.86081875,12763.609750000001,0,0
2006-10-01,9.469085,12165.63,8235.158,9.362766944444445,12513.044833333332,0,0
2007-01-01,8.977405666666666,11552.83,11854.69,9.119754361111111,12282.644833333332,0,0
2007-04-01,8.901614,8235.158,9051.431,8.959030805555555,12989.667416666669,0,0
2007-07-01,6.233325333333333,11854.69,13357.51,8.723483333333332,13612.159083333334,0,0
2007-10-01,6.121169666666667,9051.431,18459.61,8.43330225,13665.571583333332,0,0
2008-01-01,6.174055,13357.51,21867.71,8.220244277777779,13802.152416666666,0,0
2008-04-01,7.093093,18459.61,13843.68,8.088946388888889,14314.824916666666,0,0
2008-07-01,7.806266000000001,21867.71,13176.87,8.02950875,13802.693249999998,1,0
2008-10-01,7.220622,13843.68,18019.05,7.954591666666666,13892.67575,1,0
2009-01-01,6.76491,13176.87,14048.15,7.838732194444444,14746.115749999999,1,0
2009-04-01,4.144325666666667,18019.05,13245.42,7.401038555555556,15640.858416666668,1,0
2009-07-01,5.661068333333333,14048.15,21794.11,7.047244972222223,15861.905083333333,1,0
2009-10-01,6.13714,13245.42,18972.07,6.76958288888889,16686.935,1,0
2010-01-01,8.263837,21794.11,14507.25,6.7101188333333335,17216.468333333334,0,0
2010-04-01,9.008312333333334,18972.07,18951.79,6.719010361111111,17465.586666666666,0,0
2010-07-01,6.722322666666667,14507.25,19711.91,6.75976013888889,17281.064166666667,0,0
2010-10-01,5.072524333333333,18951.79,21449.03,6.672373027777778,17369.2275,0,0
2011-01-01,3.6638743333333337,19711.91,19653.44,6.463191305555555,17387.640833333335,0,0
2011-04-01,4.520579000000001,21449.03,14901.64,6.248815138888889,17062.803333333333,0,0
2011-07-01,6.045067,19653.44,13397.83,6.102048555555555,17577.754166666666,0,0
2011-10-01,9.403305666666666,14901.64,14121.0,6.283938861111111,18093.717500000002,0,0
2012-01-01,9.571455666666669,13397.83,20227.56,6.517817666666667,17830.031666666666,0,0
2012-04-01,9.221943666666668,14121.0,19436.98,6.940952500000001,19318.015833333335,0,0
2012-07-01,8.161694,20227.56,18629.88,7.149337972222223,20271.181666666667,0,0
2012-10-01,5.506907666666667,19436.98,36827.88,7.096818611111111,21921.221666666668,0,0
2013-01-01,6.488108999999999,18629.88,25945.24,6.948841277777778,22911.805833333332,0,0
2013-04-01,6.152487666666667,36827.88,38752.27,6.710855888888889,22300.545,0,0
