date,cpi_yoy_nfne
1994-01-01,74.28224333333334
1994-04-01,107.84826666666667
1994-07-01,110.90026666666667
1994-10-01,109.54443333333334
1995-01-01,111.85503333333334
1995-04-01,82.14212333333334
1995-07-01,79.01484
1995-10-01,81.44352333333332
1996-01-01,81.42340666666668
1996-04-01,80.9849
1996-07-01,81.26934
1996-10-01,79.87434
1997-01-01,76.76068333333333
1997-04-01,76.86498666666667
1997-07-01,85.45403333333333
1997-10-01,91.10570333333334
1998-01-01,94.51853
1998-04-01,95.00811333333336
1998-07-01,86.79682000000001
1998-10-01,79.71515
1999-01-01,73.12398333333333
1999-04-01,70.08999
1999-07-01,71.19059
1999-10-01,71.78886333333334
2000-01-01,73.09240666666666
2000-04-01,65.23766
2000-07-01,55.553133333333335
2000-10-01,45.11037666666667
2001-01-01,38.47613666666667
2001-04-01,49.48529333333334
2001-07-01,54.64300666666666
2001-10-01,59.18627
2002-01-01,59.46870333333334
2002-04-01,45.90056333333333
2002-07-01,39.53108
2002-10-01,33.289183333333334
2003-01-01,28.500109999999996
2003-04-01,24.50081666666667
2003-07-01,20.49660666666667
2003-10-01,15.445706666666666
2004-01-01,11.893556666666667
2004-04-01,10.830296666666667
2004-07-01,9.059895
2004-10-01,9.603342666666668
2005-01-01,8.730750666666667
2005-04-01,8.668667666666666
2005-07-01,8.519517666666667
2005-10-01,8.119627000000001
2006-01-01,8.155223666666666
2006-04-01,9.396649333333334
2006-07-01,9.906591333333333
2006-10-01,9.469085
2007-01-01,8.977405666666666
2007-04-01,8.901614
2007-07-01,6.233325333333333
2007-10-01,6.121169666666667
2008-01-01,6.174055
2008-04-01,7.093093
2008-07-01,7.806266000000001
2008-10-01,7.220622
2009-01-01,6.76491
2009-04-01,4.144325666666667
2009-07-01,5.661068333333333
2009-10-01,6.13714
2010-01-01,8.263837
2010-04-01,9.008312333333334
2010-07-01,6.722322666666667
2010-10-01,5.072524333333333
2011-01-01,3.6638743333333337
2011-04-01,4.520579000000001
2011-07-01,6.045067
2011-10-01,9.403305666666666
2012-01-01,9.571455666666667
2012-04-01,9.221943666666668
2012-07-01,8.161694
2012-10-01,5.506907666666667
2013-01-01,6.488108999999999
2013-04-01,6.152487666666667
2013-07-01,7.098772666666666
2013-10-01,7.466408333333334
2014-01-01,7.737411666666667
2014-04-01,8.965681666666667
2014-07-01,9.048163333333333
2014-10-01,8.675144
2015-01-01,7.778061
2015-04-01,7.485695333333333
2015-07-01,7.7808883333333325
2015-10-01,9.197724333333333
2016-01-01,9.897421666666666
2016-04-01,9.274595666666668
2016-07-01,9.469746333333333
2016-10-01,8.751295333333333
2017-01-01,10.074811333333333
2017-04-01,10.626933333333334
2017-07-01,10.479393333333334
2017-10-01,11.860933333333334
2018-01-01,10.738633333333333
2018-04-01,12.200833333333334
2018-07-01,17.6604
2018-10-01,20.01156
2019-01-01,16.834783333333334
2019-04-01,15.409066666666666
2019-07-01,13.457816333333334
2019-10-01,10.584192666666667
2020-01-01,12.41196
2020-04-01,12.248786666666668
2020-07-01,11.699663333333334
2020-10-01,13.150266666666667
2021-01-01,15.76388
2021-04-01,16.612913333333335
2021-07-01,15.665876666666668
2021-10-01,21.34575666666667
2022-01-01,44.164673333333326
2022-04-01,56.35893000000001
2022-07-01,67.11905666666667
2022-10-01,65.52586000000001
2023-01-01,51.53179333333333
2023-04-01,46.51217666666667
2023-07-01,63.040616666666665
2023-10-01,69.94116000000001
2024-01-01,71.59610666666667
2024-04-01,73.68670666666667
2024-07-01,53.90903333333333
2024-10-01,46.32565333333333
2025-01-01,40.48714666666667
2025-04-01,37.58099
